"id","gl_id","label","datering_start","datering_slut","periode","materiale","keywords","beskrivelse","getty","getty_match","getty_label","fish","sortering"
"dime.find.weapon.helmet.mount","ny","Hjelmbeslag",,,"dime.period.undated","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300036794","close match","HELMETS (PROTECTIVE WEAR)",,NULL
"dime.find.weapon.scabbard",,"Sværdskede",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037139","exact match","SCABBARDS",,NULL
"dime.find.weapon.scabbard.attach","dime.find.subtype.military.fitting.sheath","Skedebeslag, ophæng",,,"dime.period.undated","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300122241","close match","EQUIPMENT",,NULL
"dime.find.weapon.scabbard.belt-hook","ny","Skedebeslag, bæltekrog",,,"dime.period.undated","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300037139","close match","SCABBARDS",,NULL
"dime.find.weapon.scabbard.chape","dime.find.subtype.military.melee.chape","Skedebeslag, dupsko",,,"dime.period.undated","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300390955","exact match","CHAPES (WEAPON COMPONENTS)",,NULL
"dime.find.weapon.scabbard.mount","ny","Skedebeslag, mundblik ",,,"dime.period.undated","dime.material.copperalloy",,,"http://vocab.getty.edu/aat/300037139","close match","SCABBARDS",,NULL
"dime.find.weapon.shield","dime.find.subtype.military.shield","Skjold",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300222454","exact match","SHIELDS (ARMOR)",,NULL
"dime.find.weapon.shield.boss","ny","Skjoldbule",,,"dime.period.undated","dime.material.iron",,,"http://vocab.getty.edu/aat/300222454","close match","shield components",,NULL
"dime.find.weapon.shield.handle","ny","Skjold, grebbeslag",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300222454","close match","shield components",,NULL
"dime.find.weapon.shield.rivet","ny","Skjold, pyntenitte",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300222454","close match","shield components",,NULL
"dime.find.weapon.stabbing","dime.find.subtype.military.melee.unknown;dime.find.subtype.military.melee;dime.find.subtype.military.melee.other","Slag-/Stikvåben",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300203726","exact match","PERCUSSIVE WEAPONS",,NULL
"dime.find.weapon.stabbing.club","dime.find.subtype.military.melee.blunt","Stridskølle",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300203726","close match","PERCUSSIVE WEAPONS",,NULL
"dime.find.weapon.stabbing.dagger","dime.find.subtype.military.melee.knife","Dolk",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037058","exact match","DAGGERS (WEAPONS)",,NULL
"dime.find.weapon.stabbing.lance","ny","Lanse",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037038","close match","spears (weapons)",,NULL
"dime.find.weapon.stabbing.lance.mount",,"Lanse, beslag",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037038","close match","spears (weapons)",,NULL
"dime.find.weapon.stabbing.lance.point",,"Lanse, spids",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037038","close match","spears (weapons)",,NULL
"dime.find.weapon.stabbing.sabre","ny","Sabel",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037086","exact match","sabers",,NULL
"dime.find.weapon.stabbing.sabre.blade",,"Sabel, klinge",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037086","close match","sabers",,NULL
"dime.find.weapon.stabbing.sabre.handle",,"Sabel, greb",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037086","close match","sabers",,NULL
"dime.find.weapon.stabbing.sword","dime.find.subtype.military.melee.sword","Sværd",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037048","exact match","SWORDS",,NULL
"dime.find.weapon.stabbing.sword.blade","ny","Sværd, klinge",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037048","close match","SWORDS",,NULL
"dime.find.weapon.stabbing.sword.handle","ny","sværd, greb",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037048","close match","SWORDS",,NULL
"dime.find.weapon.stabbing.sword.hilt","ny","Sværd, underhjalte (parrerstang)",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037119","close match","hilts",,NULL
"dime.find.weapon.stabbing.sword.pommel","ny","Sværd, fæsteknap (overhjalte, pommel)",,,"dime.period.undated","dime.material.unknown",,,"http://vocab.getty.edu/aat/300037119","close match","hilts",,NULL
